"","F UN Equity","HOG UN Equity","JCI UN Equity","CMA UN Equity","ZION UW Equity","PNC UN Equity","AME UN Equity","SWK UN Equity","PWR UN Equity","RSG UN Equity","WM UN Equity","CTAS UW Equity","HAR UN Equity","LEG UN Equity","MHK UN Equity","YUM UN Equity","RCL UN Equity","MCD UN Equity","GS UN Equity","NTRS UW Equity","BLK UN Equity","TSO UN Equity","APC UN Equity","WMB UN Equity","CVS UN Equity","COST UW Equity","WFM UW Equity","HSY UN Equity","BF/B UN Equity","TAP UN Equity","ABC UN Equity","EW UN Equity","BAX UN Equity","EL UN Equity","PG UN Equity","KMB UN Equity","UNM UN Equity","XL UN Equity","MMC UN Equity","FMC UN Equity","PX UN Equity","SEE UN Equity","CMCSA UW Equity","TWX UN Equity","IPG UN Equity","ILMN UW Equity","MRK UN Equity","AGN UN Equity","EQR UN Equity","BXP UN Equity","CCI UN Equity","TSCO UW Equity","GME UN Equity","KMX UN Equity","SWKS UW Equity","MCHP UW Equity","INTC UW Equity","SYMC UW Equity","VRSN UW Equity","ATVI UW Equity","FFIV UW Equity","NTAP UW Equity","CSCO UW Equity","T UN Equity","VZ UN Equity","CTL UN Equity","R UN Equity","LUV UN Equity","UNP UN Equity","CNP UN Equity","TE UN Equity","AEP UN Equity"
"F UN Equity",1,0.20800798063693,0.267953210939622,0.160674062345339,0.118240561078555,0.127024971057313,0.217615526042337,0.237206003312353,0.248061162817244,0.12061816604249,0.157846944463954,0.222908290168327,0.238013420334953,0.175266364646869,0.207982223631094,0.179293988151472,0.246873933430998,0.115711586055867,0.184802645627412,0.186852863001215,0.200279101587988,0.159090750603666,0.13826288204292,0.179672606694359,0.0735757574796771,0.166542561907068,0.115321408005793,0.0953105964704846,0.110924392000783,0.0498857890681425,0.0608778022562955,0.0763447731127003,0.0311162145687419,0.147141732353053,0.119635615879932,0.107023005077833,0.137527059815639,0.164440339853187,0.143964746915959,0.172284290134161,0.156558317481482,0.160298338949391,0.207001521325367,0.171013699782746,0.206111139090751,0.0597421844707955,0.0877070264589793,0.106284230539056,0.145646408497668,0.196589882909623,0.204102603865403,0.0926006958991882,0.159116525888329,0.130421298145955,0.125719459455645,0.254498765957434,0.23684427678796,0.185043373393704,0.16156216370245,0.17777374296314,0.125390082279646,0.182309357219442,0.254828991991482,0.182735257688388,0.180702158623852,0.0971009590421449,0.178666758907475,0.131309062596779,0.17043309033481,0.132205888562382,0.125972066375118,0.0897272825352625
"HOG UN Equity",0.20800798063693,1,0.386375449193015,0.336213243639672,0.271504924738895,0.354538687499833,0.407005717815817,0.561671661086926,0.35833745180829,0.273132551215648,0.243194491496815,0.405586748513519,0.331832274334453,0.475014923133397,0.452570661156725,0.405456514381015,0.387305330382379,0.321645883909403,0.310534075072999,0.38691709803543,0.401043517532955,0.249623622872318,0.270030086793094,0.302374358863674,0.251574227768124,0.361139378978194,0.2664808259793,0.18585023265842,0.16314067248056,0.156072166631899,0.127421675906269,0.164864780510489,0.123304368829859,0.378814709762509,0.277375965903283,0.275989678000227,0.374762954771216,0.238400924347192,0.275361050580032,0.379846213535527,0.407142214321374,0.372060235822774,0.3604992874297,0.336400974867008,0.291419087817782,0.212704048423319,0.216488115744604,0.196522937880253,0.442652693794018,0.488504095598914,0.36572642964366,0.305873560188197,0.287147984440431,0.38682863971808,0.255284476436619,0.387277304382237,0.390495562070348,0.335273591155582,0.364134232788765,0.208319479405959,0.21640706528523,0.305265891075581,0.439216702430335,0.287338669754293,0.291599564563454,0.219145767644243,0.495762762571524,0.305675431434985,0.415111559253825,0.170258801253101,0.171249353686331,0.176661951425918
"JCI UN Equity",0.267953210939622,0.386375449193015,1,0.274989105580114,0.222491604743977,0.262836329692364,0.391237289611441,0.444973797472671,0.328252575187533,0.279360454121511,0.295437822569674,0.411439516477528,0.364511544986417,0.461415529027562,0.371057564104564,0.355932554209756,0.287490309813952,0.259179732814799,0.258768007152331,0.270748127340849,0.3998906236637,0.270590160183877,0.280412270964379,0.366113830286685,0.257776817325498,0.284275977699308,0.219264178729205,0.229486169302563,0.290811885694072,0.168575442700434,0.176479222441906,0.156275635147103,0.122089657864797,0.364530366994858,0.339922107010027,0.286191498539915,0.351740132057573,0.260963642127349,0.318427969497974,0.339964763822613,0.387186003934472,0.356782277792181,0.35633710541354,0.293989516482957,0.404810180468917,0.157083782802665,0.218098413285313,0.182524270041852,0.382559962813807,0.451406071502075,0.271042209676195,0.218393893767362,0.279349170727422,0.264222602954158,0.160776241412866,0.357212136823133,0.405056521899213,0.267765132389791,0.257666909078633,0.255527384147677,0.270707761862214,0.312608474540473,0.434100615172941,0.312344524476486,0.293097423511112,0.197558089997271,0.37916513368656,0.210351476767927,0.31900392709976,0.244707543700821,0.229861797708094,0.246689457488066
"CMA UN Equity",0.160674062345339,0.336213243639672,0.274989105580114,1,0.563243749265427,0.494956044429795,0.21120027522785,0.387632631617792,0.243177472031184,0.130308245301931,0.168653335185598,0.229311636326297,0.279766650021543,0.368989228497011,0.272708555854919,0.257668025912969,0.345532904667658,0.200177261562507,0.408754447573042,0.430658364214952,0.404261373643149,0.185121619104368,0.162794189912441,0.174315051570903,0.128478599513017,0.185481667857171,0.144558623865578,0.140273700806687,0.133850330930375,0.0711424570140261,0.0869899089711242,0.0870294167417005,0.122026657494451,0.270615392656672,0.220846066001412,0.205064798434213,0.399790351779258,0.440855610718255,0.300255206222888,0.193086605619563,0.230800796536648,0.323644889747527,0.292457166770716,0.25127675962443,0.218332368675142,0.113635598046153,0.126060341337665,0.198651818782741,0.434769812162647,0.452047115056386,0.272412193336002,0.139766505035751,0.171749396725587,0.290862803455581,0.103736641858968,0.294056402743839,0.271888054069642,0.195478517634358,0.199212365887234,0.1069837389494,0.184464693934834,0.17480103734716,0.324937922095474,0.284265033286357,0.252744819524979,0.228361667993392,0.308022471905493,0.207676830405548,0.237120347642828,0.127467422177846,0.137934581370231,0.111399051345788
"ZION UW Equity",0.118240561078555,0.271504924738895,0.222491604743977,0.563243749265427,1,0.530205795641726,0.185274025266815,0.335912627385125,0.174595449832444,0.0946555942784821,0.136638831028557,0.187516115837907,0.236179983346582,0.355738635978018,0.248458405979512,0.21239059469038,0.256079130804127,0.175265661194433,0.32944117758127,0.394388904800675,0.275316507269455,0.129944933026151,0.130200721491953,0.142637366603137,0.099029328159226,0.130394782297772,0.133159063306007,0.107351096866682,0.0786544877064116,0.048677817461915,0.0520254424282544,0.0431801410656522,0.0601602464888263,0.211429164061637,0.175701359128692,0.150619256306156,0.331631756937659,0.333657013158774,0.242424159490308,0.165305107399848,0.1522749275427,0.24200071314503,0.233344518941623,0.182013170574408,0.174810446402445,0.067194678250181,0.0830378496763597,0.088319810698229,0.334266822070321,0.332100766977196,0.185979764531384,0.111129088906792,0.0986395423284833,0.228377487516569,0.0859139829487859,0.228049671365276,0.164794680552563,0.122054643935676,0.185740086115514,0.0757729379343159,0.117365996223049,0.137469310515186,0.223352426363222,0.163556617639634,0.167630908947047,0.13247780140903,0.265010534584772,0.133622884735248,0.204998104128465,0.101464579120449,0.107184967415094,0.0801110405883776
"PNC UN Equity",0.127024971057313,0.354538687499833,0.262836329692364,0.494956044429795,0.530205795641726,1,0.181520214873458,0.358864269952159,0.208901415178061,0.136186856746537,0.148819960533811,0.238764337970494,0.222820224546244,0.388684949379691,0.243069829309219,0.235769955124687,0.281118892203964,0.207316934442115,0.397871443356227,0.549364091550294,0.398228265695163,0.120579099205562,0.13907790482405,0.199218702880763,0.138732290103043,0.180977556313846,0.132787159172314,0.0985564457829156,0.0664237889904991,0.0683880541757304,0.086656829233404,0.0761549905539345,0.0980403770817278,0.20833363936695,0.17183023746572,0.149198879931167,0.442249660340602,0.284171736752762,0.217550801262668,0.196534479973049,0.201935398815938,0.344759499775499,0.280217438355258,0.22419109338073,0.190803500181899,0.107346203471716,0.0964698591454442,0.12824993008567,0.471722435438657,0.515124279665586,0.231886953332325,0.147667735784296,0.212024790757047,0.261568080754031,0.122930651805279,0.245554741751471,0.239396859155264,0.175547524931245,0.245822624608523,0.121977547927804,0.182234258383434,0.181695600828467,0.26295404633406,0.1824700020477,0.187855048313152,0.147015752602207,0.31442175187661,0.18347068696889,0.238967208180119,0.0881430720767443,0.11474795726165,0.0840877607556234
"AME UN Equity",0.217615526042337,0.407005717815817,0.391237289611441,0.21120027522785,0.185274025266815,0.181520214873458,1,0.53281894897751,0.553456800401537,0.315870719083292,0.371398039717464,0.475978089024356,0.323869334413384,0.437831847589316,0.319681560610141,0.414320025617733,0.305164802163595,0.372273702067912,0.34049725844312,0.40635265762538,0.407267261004153,0.396669303554414,0.435377055908353,0.474624568935609,0.305475568270005,0.341849794640635,0.210877420231432,0.229832845468213,0.228294082084429,0.198788141408609,0.2944184007309,0.311223462528252,0.249585864925643,0.335200209059065,0.376342855847952,0.358306191272616,0.351958814166446,0.259901030322181,0.287534469627144,0.491384882260655,0.49809643366588,0.3417420288317,0.40064486434491,0.381819154489399,0.331481416688406,0.24052325875163,0.317879614042627,0.324711295250952,0.341411078787046,0.414733557365603,0.385898517640222,0.2645608757321,0.288119027375749,0.328662987402806,0.209020944535218,0.449634272989108,0.516267309122987,0.31612480240207,0.414482585277611,0.41136888480226,0.278604769804561,0.427382099894458,0.512559482477036,0.41579425093152,0.364110695548044,0.306995212182303,0.386213795568432,0.264077900585876,0.3942338301219,0.310319040684402,0.288258555317765,0.320740310731598
"SWK UN Equity",0.237206003312353,0.561671661086926,0.444973797472671,0.387632631617792,0.335912627385125,0.358864269952159,0.53281894897751,1,0.482460594476655,0.312555329672177,0.383495496264573,0.50868448279444,0.503738068606151,0.542001713005779,0.539430586914503,0.492798015967697,0.455075629232238,0.374316555171235,0.459632070276666,0.448918981449749,0.474327573708631,0.3863450589682,0.399688627976729,0.418549642511074,0.307188861479388,0.423465409036737,0.299074220451879,0.224176953915695,0.302857001986123,0.187929354661861,0.271057812537866,0.242877973397621,0.241628886126717,0.44559681989765,0.426764881269856,0.362764414932109,0.47979979437271,0.328295561321043,0.36359052614316,0.39528939177075,0.502880897822939,0.457227256173512,0.508894142122839,0.489681789438538,0.388641232602452,0.249455991878816,0.300639302788848,0.348914098387604,0.414355614678718,0.503092613894933,0.458390792619844,0.272531236411091,0.365739426952765,0.438729037825705,0.208215958215889,0.440984561824084,0.447237263355546,0.396331946918861,0.392029629007294,0.281019636318515,0.274721586459266,0.386339994836516,0.556204041915613,0.432096619617523,0.410466361960799,0.329224935075577,0.488432108536408,0.335909549583676,0.441781909511162,0.310429753359291,0.30264929864456,0.316335630843141
"PWR UN Equity",0.248061162817244,0.35833745180829,0.328252575187533,0.243177472031184,0.174595449832444,0.208901415178061,0.553456800401537,0.482460594476655,1,0.267044762719851,0.336333590743587,0.415335251262561,0.346873377865291,0.387469550489731,0.279292063046053,0.367445101064071,0.346780934796076,0.320493042072777,0.380362638851713,0.410921839089323,0.410516747312189,0.39676366460479,0.416302813911497,0.504611519840277,0.266053407928392,0.338590626989692,0.199764388084929,0.21140362085175,0.216134542040442,0.117366013241451,0.220534301054184,0.278186306616873,0.216261775602688,0.307723638460422,0.279002593056137,0.281056803217746,0.363700399634239,0.222618468303652,0.286732861171561,0.443250149904623,0.483716316893807,0.352800956301123,0.429700397168926,0.373380354167065,0.314293937569563,0.267371959709869,0.277098276189448,0.328952178452697,0.346549967949272,0.402155726976863,0.472955307010649,0.207575191722843,0.328704589296788,0.352090506473282,0.197416292600031,0.462909495030158,0.474511722113064,0.390704627895885,0.407531760576993,0.377047134196415,0.253865249299854,0.391649731962713,0.494415840494391,0.371488722851153,0.303101494965553,0.282157736912312,0.369611370388076,0.246167541581137,0.362092466857218,0.254846114464207,0.301183029825558,0.231779241415757
"RSG UN Equity",0.12061816604249,0.273132551215648,0.279360454121511,0.130308245301931,0.0946555942784821,0.136186856746537,0.315870719083292,0.312555329672177,0.267044762719851,1,0.343799459500019,0.286364167011957,0.197671181211573,0.300024753937512,0.157718766667396,0.259731247644331,0.215658275863383,0.260128521526218,0.162135443981798,0.223238743817481,0.238609032353272,0.238100497828328,0.305142851741476,0.306288833288316,0.296203983514452,0.231149284559819,0.139865891870282,0.254972833871382,0.257032842350475,0.17660257127906,0.258408409937135,0.243124380032607,0.236990552077313,0.227868592844344,0.29269388727211,0.266277425423753,0.274809859541713,0.15127139773356,0.174564556383406,0.331268218120063,0.319070281967006,0.236163932202319,0.271586454156866,0.227323033006662,0.15840213011568,0.215711426243668,0.300224017134514,0.259042430694344,0.240159693019803,0.252133377430682,0.253627702424908,0.154528924569562,0.236903923784577,0.170299929802028,0.100947635677076,0.224395353766375,0.276532661596131,0.128149167180591,0.248673854052914,0.172834708989487,0.115865417967015,0.186208380783417,0.302271141821045,0.252302031167521,0.205616491449848,0.169063006355196,0.202909611599029,0.223697397546163,0.196016273237978,0.294197582078683,0.18069023423614,0.269465235095576
