"","F UN Equity","HOG UN Equity","JCI UN Equity","CMA UN Equity","ZION UW Equity","PNC UN Equity","AME UN Equity","SWK UN Equity","PWR UN Equity","RSG UN Equity","WM UN Equity","CTAS UW Equity","HAR UN Equity","LEG UN Equity","MHK UN Equity","YUM UN Equity","RCL UN Equity","MCD UN Equity","GS UN Equity","NTRS UW Equity","BLK UN Equity","TSO UN Equity","APC UN Equity","WMB UN Equity","CVS UN Equity","COST UW Equity","WFM UW Equity","HSY UN Equity","BF/B UN Equity","TAP UN Equity","ABC UN Equity","EW UN Equity","BAX UN Equity","EL UN Equity","PG UN Equity","KMB UN Equity","UNM UN Equity","XL UN Equity","MMC UN Equity","FMC UN Equity","PX UN Equity","SEE UN Equity","CMCSA UW Equity","TWX UN Equity","IPG UN Equity","ILMN UW Equity","MRK UN Equity","AGN UN Equity","EQR UN Equity","BXP UN Equity","CCI UN Equity","TSCO UW Equity","GME UN Equity","KMX UN Equity","SWKS UW Equity","MCHP UW Equity","INTC UW Equity","SYMC UW Equity","VRSN UW Equity","ATVI UW Equity","FFIV UW Equity","NTAP UW Equity","CSCO UW Equity","T UN Equity","VZ UN Equity","CTL UN Equity","R UN Equity","LUV UN Equity","UNP UN Equity","CNP UN Equity","TE UN Equity","AEP UN Equity"
"F UN Equity",1,0.875863573298582,0.862559021980234,0.857965409161555,0.837721017914826,0.844985252061692,0.841745653921388,0.863644909807958,0.847855290369976,0.846315630773596,0.852873540444662,0.844198815372216,0.856068240175077,0.855008955494595,0.856427195476592,0.854466517793632,0.841217416971243,0.850519605692254,0.857062954656826,0.851043356744195,0.841078320263373,0.84392462631648,0.851209284741096,0.833672242732148,0.84195175216397,0.850948475997436,0.857924061532592,0.829963558337275,0.842062238240766,0.846376741150555,0.839301869982816,0.827409504873909,0.852516081474219,0.859185769496396,0.839028596688613,0.861487123157414,0.846114401132917,0.8539816222146,0.835786561248082,0.85856832382847,0.876918917833437,0.857952783060883,0.845005784458014,0.873876029659416,0.852007315769661,0.853684232311366,0.823685834940544,0.845665909211489,0.826740425636342,0.821763469637472,0.853427789022301,0.847057747710849,0.849240383271309,0.856547339273006,0.854378909065861,0.849788345556237,0.836867667487114,0.834412911769691,0.856640136270183,0.849858683839461,0.840063297549601,0.850692839751496,0.843567349850225,0.839014289843131,0.838501121600444,0.842968818250575,0.858858103715219,0.843665696797083,0.864877733620483,0.836323802574669,0.840442124591915,0.823997294698767
"HOG UN Equity",0.875863573298582,1,0.863677795305074,0.859458373136455,0.861637628838058,0.859185262343335,0.864097580991749,0.896131804390921,0.869895616121478,0.865972247626741,0.872951217815196,0.862601513169131,0.867883942965649,0.880149258766204,0.881630597855017,0.86109892510471,0.858881900455042,0.856923084606327,0.856677982211151,0.852228373667357,0.869374532171307,0.86274310534797,0.856076066335739,0.85285282535324,0.85587028537839,0.865960565231262,0.870003323159419,0.854840238753587,0.85987553828206,0.898069807933953,0.886263180298069,0.848078834823636,0.860066474604261,0.866690851159328,0.858852277867681,0.883193651950223,0.869777199151649,0.858992137945537,0.872962204101565,0.876476378038794,0.870918133066032,0.873851028747912,0.868923475432321,0.860484806472264,0.857968493239317,0.856052491590181,0.864743046825096,0.864941312746016,0.84371740817291,0.841479408906553,0.860332876852458,0.869112146033562,0.8568508521177,0.866237631792488,0.860190660750987,0.861310783701533,0.849675572611391,0.853624568332028,0.872416906880135,0.865969756682264,0.867786138551681,0.86750611718184,0.860908918691306,0.858942122302227,0.857671946247567,0.864412666106,0.858673513726421,0.861907809628826,0.872766772615202,0.845972542149811,0.848466667047541,0.856218039578748
"JCI UN Equity",0.862559021980234,0.863677795305074,1,0.858987915677278,0.860253330353797,0.853324654866497,0.863998696511522,0.871927746715877,0.856717206253447,0.85346158927017,0.861264846517047,0.851136461490113,0.862650707052014,0.852663718972536,0.863095394492547,0.857819835592463,0.849679495020188,0.862924128827956,0.860724311235907,0.870195050197362,0.857645293382924,0.848931578264635,0.851082657408788,0.863403860903095,0.858020782250703,0.862069335588507,0.853481787325559,0.843308349512794,0.855370031244078,0.85008223528367,0.85466180135977,0.852726742926293,0.860759770724102,0.852237598944295,0.860934677068149,0.85679698986212,0.847823103391372,0.849314477684222,0.829157950339823,0.877472618483303,0.873639234148103,0.865024949291651,0.867889427906729,0.854867171618056,0.850151797359031,0.85805913788739,0.825805849981779,0.860152854816287,0.851468466901593,0.838408491222191,0.854213247587063,0.856950878762814,0.851517479258159,0.863071673113379,0.851153925646855,0.861293248169746,0.855822255160604,0.851178298157487,0.858590381970615,0.853761734941122,0.855705025293588,0.863345188388669,0.849743596258702,0.845928519669801,0.853704532399615,0.858922236728584,0.873096150121211,0.859696546259199,0.861657996503843,0.847766233484927,0.860573073735955,0.851666929997235
"CMA UN Equity",0.857965409161555,0.859458373136455,0.858987915677278,1,0.860728173921717,0.876010772419779,0.847456776907282,0.861173493823836,0.840906310069639,0.847770038688128,0.844594078934053,0.842585229097585,0.842078444017876,0.85841523929637,0.860187623741585,0.848504818197053,0.83468355171301,0.837158908410107,0.847184082783426,0.867112368980856,0.845369873610135,0.844601328461965,0.835467338254192,0.843970165688717,0.84568500895332,0.85639557084434,0.841576812642133,0.837828930629522,0.833359795418315,0.840859062977596,0.853072435429351,0.842229997567164,0.849714710725425,0.844038926469387,0.85914523009355,0.860718331431686,0.850141716595855,0.866093687675701,0.837783017307478,0.852871171491275,0.853034836979008,0.839907979565909,0.851512785005533,0.848493361301489,0.830362354604522,0.84590728519385,0.831819583786613,0.8397399882663,0.860894147523288,0.864163256276509,0.839281096769901,0.848226999714369,0.851070628596481,0.859406753035704,0.850750887664169,0.850811714679013,0.846939977339396,0.849587774470596,0.845534843996292,0.853565851285188,0.841707429567619,0.845361051612147,0.844227942867309,0.880190619001805,0.856130873413927,0.849721986195334,0.854527157510619,0.855810055667692,0.847889684716183,0.85639699233367,0.854716789839216,0.862314880384485
"ZION UW Equity",0.837721017914826,0.861637628838058,0.860253330353797,0.860728173921717,1,0.870448455204209,0.870712832513752,0.869779744148564,0.844209213463585,0.859563407299728,0.86001143017509,0.852488996451783,0.853142214854934,0.859462569426728,0.872996379912868,0.857760113932334,0.836198960547799,0.853548685960567,0.854728757714548,0.863155261975414,0.873097440591459,0.854407932474383,0.847580325042985,0.859271198153412,0.861594796937191,0.861328742203042,0.850998227520073,0.855984906175677,0.859696551577469,0.869073416750794,0.844719680997583,0.850417389195334,0.852755278792837,0.855823909235152,0.862349874531952,0.861569908730967,0.859906752326206,0.872099815763113,0.846548410428008,0.862979859570354,0.864258861965618,0.869716075064693,0.856801666572799,0.847356748070844,0.848020054049214,0.850990344284553,0.834227381852923,0.84427675947791,0.852514435735695,0.849070094733278,0.857600423898618,0.856528817218453,0.857143744488844,0.863574449395746,0.841519024246149,0.849481801055755,0.856244958783222,0.850590318779041,0.863519007176418,0.866521683961072,0.857362881691088,0.850236009006191,0.859162932315938,0.8518420550269,0.853030769025922,0.860722577388736,0.848135574951158,0.869221458187423,0.857357453408536,0.853090211278091,0.847332950876289,0.86391144847967
"PNC UN Equity",0.844985252061692,0.859185262343335,0.853324654866497,0.876010772419779,0.870448455204209,1,0.837937345394448,0.859360844763539,0.851497479735112,0.863361274626939,0.844316073506059,0.859784142571136,0.848395089404714,0.863560858149231,0.865339781548294,0.837127364758217,0.844057148520356,0.851598247428569,0.852905027703795,0.873650677520521,0.846606114006304,0.840602338270449,0.834919378109977,0.845545906788761,0.854327372671021,0.846644671225845,0.849358769787006,0.853944212046587,0.85932482578657,0.842382925944409,0.846329087359261,0.84783912471782,0.862617326122677,0.851346945512629,0.86472338262816,0.862412788965439,0.848457757229016,0.84160785085709,0.83327379634377,0.85550025250734,0.861876831190833,0.855156055925105,0.857352538418097,0.85718953681877,0.8424124555507,0.849406930673167,0.832794357212506,0.854567463963581,0.862976461825349,0.84593472280374,0.837528397116073,0.846148628776654,0.855921050050128,0.847836846195679,0.852082382306552,0.872265986184663,0.863732872227354,0.85725577872326,0.868980419902169,0.852339254669469,0.85411017455519,0.863322025464389,0.86588697366701,0.86956988248666,0.865055672186203,0.853839332668882,0.86144738199958,0.878371984736087,0.862839791265237,0.845513625733724,0.843565753163604,0.863237064235734
"AME UN Equity",0.841745653921388,0.864097580991749,0.863998696511522,0.847456776907282,0.870712832513752,0.837937345394448,1,0.87281807521727,0.852694252265809,0.873253005612502,0.864704252405597,0.848902380232049,0.86486098009975,0.864539363608554,0.862435157717508,0.874524023473413,0.854623558892561,0.865095498471909,0.856949205412602,0.841850938273034,0.860332480923596,0.865761728972603,0.865420043445867,0.867059144692026,0.856591579264596,0.859002396140984,0.861081264371621,0.846970714152436,0.855003396215711,0.869541315192983,0.857612939946972,0.850972065381708,0.854400486577793,0.85875755920975,0.84323985077937,0.861181187956582,0.851454403711646,0.846148958629005,0.842129387696812,0.867111661245715,0.878087638418843,0.878730874723987,0.852615807821189,0.855213835087933,0.845047225317183,0.845116956589552,0.830860015832787,0.852400367968337,0.843004431398221,0.839226313076917,0.862388047122329,0.870401187512206,0.844363030798474,0.87137779276891,0.839270234077413,0.853463130534529,0.848728871367598,0.849694195086844,0.858357164747657,0.864691368211046,0.872482254807918,0.860613608401803,0.860703584332816,0.832571217891228,0.834281025867488,0.86674406651351,0.859731277624309,0.851915848576018,0.856077783818405,0.8636052388863,0.858742468065736,0.860042440154744
"SWK UN Equity",0.863644909807958,0.896131804390921,0.871927746715877,0.861173493823836,0.869779744148564,0.859360844763539,0.87281807521727,1,0.867181829821566,0.869990199551423,0.872449841905152,0.860245206252317,0.875207887465351,0.871854978931829,0.883055573984884,0.869912405031329,0.847665032162798,0.86799099363856,0.859830543965015,0.862591779010228,0.870277828993156,0.869505531015941,0.856400195353288,0.851782361290599,0.859798776518738,0.876919176385669,0.864145978713291,0.857981092897971,0.859059091846426,0.881741857696933,0.86846003159112,0.843813867089162,0.86829493998727,0.866584920960291,0.85140531670092,0.871593243848949,0.870356495496839,0.864205225965669,0.861519364747693,0.885721310176312,0.876465790347332,0.876282909224227,0.867657778396824,0.861710013521879,0.856940616311302,0.873776080964533,0.84727828694115,0.860796991924753,0.846002266944182,0.842865414657608,0.86593129206947,0.869165038064676,0.864187308572136,0.871831775216363,0.862500982232644,0.864345850594405,0.846621029499259,0.864077169549128,0.873609502350984,0.867167042021101,0.874736106767329,0.873886387182241,0.864401313300338,0.859654738020187,0.850899595137554,0.861437496401318,0.857202925410982,0.865067964539451,0.874232735918057,0.856476063749496,0.856772026008155,0.850400629813704
"PWR UN Equity",0.847855290369976,0.869895616121478,0.856717206253447,0.840906310069639,0.844209213463585,0.851497479735112,0.852694252265809,0.867181829821566,1,0.863502907830911,0.859194086693083,0.866479567572345,0.853902570734921,0.859183014151187,0.867031005010921,0.858124095506384,0.844834787413096,0.854687238803898,0.857571390122002,0.851281023701429,0.851419809777511,0.856624726552534,0.830219994878927,0.839831160906804,0.849645131576817,0.85749971916284,0.845722812803758,0.856461542533112,0.859662177465325,0.850536993568594,0.862008594264835,0.860677828094827,0.856436924834174,0.854865173771494,0.859395039187126,0.857824390184008,0.855975993342681,0.837661862941857,0.839189301579004,0.862739263832126,0.866020418434883,0.866012153849137,0.862214774708615,0.852841902527029,0.845779031144647,0.859247687387558,0.840195468864832,0.843632468922024,0.85064023957895,0.851007006573693,0.85845031831238,0.859452287694337,0.843256093318149,0.854148045201851,0.852601391239664,0.86273816119819,0.85660661058997,0.850508832336167,0.861971546286744,0.849765018679772,0.861080637861657,0.861739947819791,0.869004727339571,0.854437433219428,0.852462277434508,0.853359356173823,0.854461560321913,0.867441193299018,0.855385861223333,0.857094863052266,0.857504678592001,0.84542689144411
"RSG UN Equity",0.846315630773596,0.865972247626741,0.85346158927017,0.847770038688128,0.859563407299728,0.863361274626939,0.873253005612502,0.869990199551423,0.863502907830911,1,0.868543900390997,0.860587973301242,0.846693543199487,0.863728633067907,0.856379724444212,0.858831530392366,0.849416346328407,0.856719496202846,0.857112454686134,0.847369810982914,0.86061507318677,0.855713394855046,0.839018635240002,0.855125392634909,0.864879626222484,0.857112568483089,0.867264192347716,0.854191518655114,0.86702153782727,0.863940157012165,0.858496795192672,0.860962444451557,0.856274094513392,0.856208822600405,0.856490824840972,0.86357063669253,0.862674818501983,0.859112626613621,0.842451068125232,0.872407994849785,0.8594831282767,0.861584665170325,0.85728654307095,0.863761987355897,0.843510162665565,0.852331403352449,0.856994570985111,0.841871122760837,0.854283924638609,0.853719526644947,0.854750984015114,0.857387081678185,0.863156015699263,0.858100953244249,0.836716350875266,0.854202781607284,0.85958761005057,0.854754528695233,0.871125732988353,0.873569638655434,0.860761270866742,0.860205128388511,0.867631876897744,0.84582912614597,0.841573076127343,0.858945646809169,0.85982405277645,0.851786783505053,0.859899301811423,0.856666231921532,0.853698485835306,0.854308644432119
