"","GICS_INDUSTRY_GROUP","GICS_INDUSTRY_GROUP_NAME","LONG_COMPANY_NAME_REALTIME","NAME_RT"
"A UN Equity",3520,"Pharmaceuticals, Biotechnology","Agilent Technologies Inc","AGILENT TECHNOLOGIES INC"
"AIZ UN Equity",4030,"Insurance","Assurant Inc","ASSURANT INC"
"AEE UN Equity",5510,"Utilities","Ameren Corp","AMEREN CORPORATION"
"ACN UN Equity",4510,"Software & Services","Accenture PLC","ACCENTURE PLC-CL A"
"AKAM UW Equity",4510,"Software & Services","Akamai Technologies Inc","AKAMAI TECHNOLOGIES INC"
"ALL UN Equity",4030,"Insurance","Allstate Corp/The","ALLSTATE CORP"
"ALLE UN Equity",2010,"Capital Goods","Allegion PLC","ALLEGION PLC"
"AA UN Equity",1510,"Materials","Alcoa Inc","ALCOA INC"
"AAL UW Equity",2030,"Transportation","American Airlines Group Inc","AMERICAN AIRLINES GROUP INC"
"ADBE UW Equity",4510,"Software & Services","Adobe Systems Inc","ADOBE SYSTEMS INC"
"ADI UW Equity",4530,"Semiconductors & Semiconductor","Analog Devices Inc","ANALOG DEVICES INC"
"AEP UN Equity",5510,"Utilities","American Electric Power Co Inc","AMERICAN ELECTRIC POWER"
"AAP UN Equity",2550,"Retailing","Advance Auto Parts Inc","ADVANCE AUTO PARTS INC"
"ALXN UW Equity",3520,"Pharmaceuticals, Biotechnology","Alexion Pharmaceuticals Inc","ALEXION PHARMACEUTICALS INC"
"AES UN Equity",5510,"Utilities","AES Corp/VA","AES CORP"
"AET UN Equity",3510,"Health Care Equipment & Servic","Aetna Inc","AETNA INC"
"AAPL UW Equity",4520,"Technology Hardware & Equipmen","Apple Inc","APPLE INC"
"ADM UN Equity",3020,"Food Beverage & Tobacco","Archer-Daniels-Midland Co","ARCHER-DANIELS-MIDLAND CO"
"ABBV UN Equity",3520,"Pharmaceuticals, Biotechnology","AbbVie Inc","ABBVIE INC"
"ADP UW Equity",4510,"Software & Services","Automatic Data Processing Inc","AUTOMATIC DATA PROCESSING"
"AMAT UW Equity",4530,"Semiconductors & Semiconductor","Applied Materials Inc","APPLIED MATERIALS INC"
